sector,sector_desc
Accommodation and Food Services,Beverage/Leisure/Hotels-Motels/Restaurant
Agriculture & Forestry & Fishing and Hunting
"Amusement, Gambling, and Recreation Industries"
Apparel Manufacturing,Clothing and Accessories Stores
Architecture and Engineering
"Arts, Entertainment, and Recreation"
Business and Financial,Banking/Funds/Insurance/Investment
Construction and Real Estate Development
Educational Services,Schools/Training/Library
Energy (Utilities) & Oil Industry
Government & Public Office,Administrative and Support Services
Healthcare,Hospitals/Clinics/Personal Care
Information Technology,"Data Processing, Hosting, and Related Services"
Legal & Judiciary
Media & Communications,Internet Publishing and Broadcasting
Military & Security,Defense Contractors
Motion Picture and Sound Recording Industries
"Museums, Historical Sites, and Similar Institutions"
Natural Resources and Mining (except Oil and Gas)
Postal Service,Couriers and Messengers
Religious & Charity Organizations
Retail Industry,General Merchandise Stores
Transportation & Logistics,Air/Ground/Water
Waste Management & Disposal Services
OTHER
NOT REPORTED